# unidata-5.1.0.txt
# Date: 2008-03-04, 10:55:08 PST [KW]
#
# This file defines the Default Unicode Collation Element Table
#   (DUCET) for the Unicode Collation Algorithm
#
# Copyright (c) 2001-2008 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# See UTS #10, Unicode Collation Algorithm, for more information.
#
# Diagnostic weight ranges
# Primary weight range:   0200..3266 (12391)
# Secondary weight range: 0020..01DE (447)
# Variant secondaries:    01AF..01B4 (6)
# Digit secondaries:      01B5..01DE (42)
# Tertiary weight range:  0002..001F (30)
#
@version 5.1.0

023D  ; [.126D.0020.0008.023D] # LATIN CAPITAL LETTER L WITH BAR
2C61  ; [.1271.0020.0002.2C61] # LATIN SMALL LETTER L WITH DOUBLE BAR
2C60  ; [.1271.0020.0008.2C60] # LATIN CAPITAL LETTER L WITH DOUBLE BAR
026B  ; [.1272.0020.0002.026B] # LATIN SMALL LETTER L WITH MIDDLE TILDE
2C62  ; [.1272.0020.0008.2C62] # LATIN CAPITAL LETTER L WITH MIDDLE TILDE
026C  ; [.1276.0020.0002.026C] # LATIN SMALL LETTER L WITH BELT
026D  ; [.127B.0020.0002.026D] # LATIN SMALL LETTER L WITH RETROFLEX HOOK
0234  ; [.127F.0020.0002.0234] # LATIN SMALL LETTER L WITH CURL
A772  ; [.1283.0020.0002.A772] # LATIN SMALL LETTER LUM
026E  ; [.1284.0020.0002.026E] # LATIN SMALL LETTER LEZH
A781  ; [.1288.0020.0002.A781] # LATIN SMALL LETTER TURNED L
A780  ; [.1288.0020.0008.A780] # LATIN CAPITAL LETTER TURNED L
019B  ; [.1289.0020.0002.019B] # LATIN SMALL LETTER LAMBDA WITH STROKE
028E  ; [.128D.0020.0002.028E] # LATIN SMALL LETTER TURNED Y
006D  ; [.1291.0020.0002.006D] # LATIN SMALL LETTER M
FF4D  ; [.1291.0020.0003.FF4D] # FULLWIDTH LATIN SMALL LETTER M; QQK
036B  ; [.1291.0020.0004.036B] # COMBINING LATIN SMALL LETTER M; QQK
217F  ; [.1291.0020.0004.217F] # SMALL ROMAN NUMERAL ONE THOUSAND; QQK
24A8  ; [*02C8.0020.0004.24A8][.1291.0020.0004.24A8][*02C9.0020.001F.24A8] # PARENTHESIZED LATIN SMALL LETTER M; QQKN
24DC  ; [.1291.0020.0006.24DC] # CIRCLED LATIN SMALL LETTER M; QQK
004D  ; [.1291.0020.0008.004D] # LATIN CAPITAL LETTER M
FF2D  ; [.1291.0020.0009.FF2D] # FULLWIDTH LATIN CAPITAL LETTER M; QQK
216F  ; [.1291.0020.000A.216F] # ROMAN NUMERAL ONE THOUSAND; QQK
2133  ; [.1291.0020.000B.2133] # SCRIPT CAPITAL M; QQK
24C2  ; [.1291.0020.000C.24C2] # CIRCLED LATIN CAPITAL LETTER M; QQK
1E3F  ; [.1291.0020.0002.006D][.0000.0032.0002.0301] # LATIN SMALL LETTER M WITH ACUTE; QQCM
1E3E  ; [.1291.0020.0008.004D][.0000.0032.0002.0301] # LATIN CAPITAL LETTER M WITH ACUTE; QQCM
1E41  ; [.1291.0020.0002.006D][.0000.0052.0002.0307] # LATIN SMALL LETTER M WITH DOT ABOVE; QQCM
1E40  ; [.1291.0020.0008.004D][.0000.0052.0002.0307] # LATIN CAPITAL LETTER M WITH DOT ABOVE; QQCM
1E43  ; [.1291.0020.0002.006D][.0000.007A.0002.0323] # LATIN SMALL LETTER M WITH DOT BELOW; QQCM
1E42  ; [.1291.0020.0008.004D][.0000.007A.0002.0323] # LATIN CAPITAL LETTER M WITH DOT BELOW; QQCM
33A1  ; [.1291.0020.001C.33A1][.1139.0020.001C.33A1] # SQUARE M SQUARED; QQKN
33A5  ; [.1291.0020.001C.33A5][.113A.0020.001C.33A5] # SQUARE M CUBED; QQKN
3383  ; [.1291.0020.001C.3383][.1141.0020.001D.3383] # SQUARE MA; QQKN
33D4  ; [.1291.0020.001C.33D4][.1157.0020.001C.33D4] # SQUARE MB SMALL; QQKN
3386  ; [.1291.0020.001D.3386][.1157.0020.001D.3386] # SQUARE MB; QQKN
338E  ; [.1291.0020.001C.338E][.11E2.0020.001C.338E] # SQUARE MG; QQKN
3392  ; [.1291.0020.001D.3392][.1205.0020.001D.3392][.13DF.0020.001F.3392] # SQUARE MHZ; QQKN
33D5  ; [.1291.0020.001C.33D5][.121E.0020.001C.33D5][.1262.0020.001F.33D5] # SQUARE MIL; QQKN
3396  ; [.1291.0020.001C.3396][.1262.0020.001C.3396] # SQUARE ML; QQKN
339C  ; [.1291.0020.001C.339C][.1291.0020.001C.339C] # SQUARE MM; QQKN
339F  ; [.1291.0020.001C.339F][.1291.0020.001C.339F][.1139.0020.001F.339F] # SQUARE MM SQUARED; QQKN
33A3  ; [.1291.0020.001C.33A3][.1291.0020.001C.33A3][.113A.0020.001F.33A3] # SQUARE MM CUBED; QQKN
33D6  ; [.1291.0020.001C.33D6][.12C0.0020.001C.33D6][.1262.0020.001F.33D6] # SQUARE MOL; QQKN
33AB  ; [.1291.0020.001D.33AB][.12E5.0020.001D.33AB][.1141.0020.001F.33AB] # SQUARE MPA; QQKN
33B3  ; [.1291.0020.001C.33B3][.1342.0020.001C.33B3] # SQUARE MS; QQKN
33A7  ; [.1291.0020.001C.33A7][*050B.0020.001C.33A7][.1342.0020.001F.33A7] # SQUARE M OVER S; QQKN
33A8  ; [.1291.0020.001C.33A8][*050B.0020.001C.33A8][.1342.0020.001F.33A8][.1139.0020.001F.33A8] # SQUARE M OVER S SQUARED; QQKN
33B7  ; [.1291.0020.001C.33B7][.13AD.0020.001D.33B7] # SQUARE MV; QQKN
33B9  ; [.1291.0020.001D.33B9][.13AD.0020.001D.33B9] # SQUARE MV MEGA; QQKN
33BD  ; [.1291.0020.001C.33BD][.13BF.0020.001D.33BD] # SQUARE MW; QQKN
33BF  ; [.1291.0020.001D.33BF][.13BF.0020.001D.33BF] # SQUARE MW MEGA; QQKN
33C1  ; [.1291.0020.001D.33C1][.149F.0020.001D.33C1] # SQUARE M OHM; QQKN
0271  ; [.1298.0020.0002.0271] # LATIN SMALL LETTER M WITH HOOK
2C6E  ; [.1298.0020.0008.2C6E] # LATIN CAPITAL LETTER M WITH HOOK
A7FD  ; [.129C.0020.0002.A7FD] # LATIN EPIGRAPHIC LETTER INVERTED M
A7FF  ; [.129D.0020.0002.A7FF] # LATIN EPIGRAPHIC LETTER ARCHAIC M
A773  ; [.129E.0020.0002.A773] # LATIN SMALL LETTER MUM
006E  ; [.129F.0020.0002.006E] # LATIN SMALL LETTER N
FF4E  ; [.129F.0020.0003.FF4E] # FULLWIDTH LATIN SMALL LETTER N; QQK
24A9  ; [*02C8.0020.0004.24A9][.129F.0020.0004.24A9][*02C9.0020.001F.24A9] # PARENTHESIZED LATIN SMALL LETTER N; QQKN
24DD  ; [.129F.0020.0006.24DD] # CIRCLED LATIN SMALL LETTER N; QQK
004E  ; [.129F.0020.0008.004E] # LATIN CAPITAL LETTER N
FF2E  ; [.129F.0020.0009.FF2E] # FULLWIDTH LATIN CAPITAL LETTER N; QQK
2115  ; [.129F.0020.000B.2115] # DOUBLE-STRUCK CAPITAL N; QQK
24C3  ; [.129F.0020.000C.24C3] # CIRCLED LATIN CAPITAL LETTER N; QQK
207F  ; [.129F.0020.0014.207F] # SUPERSCRIPT LATIN SMALL LETTER N; QQK
0144  ; [.129F.0020.0002.006E][.0000.0032.0002.0301] # LATIN SMALL LETTER N WITH ACUTE; QQCM
0143  ; [.129F.0020.0008.004E][.0000.0032.0002.0301] # LATIN CAPITAL LETTER N WITH ACUTE; QQCM
01F9  ; [.129F.0020.0002.006E][.0000.0035.0002.0300] # LATIN SMALL LETTER N WITH GRAVE; QQCM
01F8  ; [.129F.0020.0008.004E][.0000.0035.0002.0300] # LATIN CAPITAL LETTER N WITH GRAVE; QQCM
0148  ; [.129F.0020.0002.006E][.0000.0041.0002.030C] # LATIN SMALL LETTER N WITH CARON; QQCM
0147  ; [.129F.0020.0008.004E][.0000.0041.0002.030C] # LATIN CAPITAL LETTER N WITH CARON; QQCM
00F1  ; [.129F.0020.0002.006E][.0000.004E.0002.0303] # LATIN SMALL LETTER N WITH TILDE; QQCM
00D1  ; [.129F.0020.0008.004E][.0000.004E.0002.0303] # LATIN CAPITAL LETTER N WITH TILDE; QQCM
1E45  ; [.129F.0020.0002.006E][.0000.0052.0002.0307] # LATIN SMALL LETTER N WITH DOT ABOVE; QQCM
1E44  ; [.129F.0020.0008.004E][.0000.0052.0002.0307] # LATIN CAPITAL LETTER N WITH DOT ABOVE; QQCM
0146  ; [.129F.0020.0002.006E][.0000.0056.0002.0327] # LATIN SMALL LETTER N WITH CEDILLA; QQCM
0145  ; [.129F.0020.0008.004E][.0000.0056.0002.0327] # LATIN CAPITAL LETTER N WITH CEDILLA; QQCM
1E47  ; [.129F.0020.0002.006E][.0000.007A.0002.0323] # LATIN SMALL LETTER N WITH DOT BELOW; QQCM
1E46  ; [.129F.0020.0008.004E][.0000.007A.0002.0323] # LATIN CAPITAL LETTER N WITH DOT BELOW; QQCM
1E4B  ; [.129F.0020.0002.006E][.0000.0086.0002.032D] # LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW; QQCM
1E4A  ; [.129F.0020.0008.004E][.0000.0086.0002.032D] # LATIN CAPITAL LETTER N WITH CIRCUMFLEX BELOW; QQCM
1E49  ; [.129F.0020.0002.006E][.0000.008A.0002.0331] # LATIN SMALL LETTER N WITH LINE BELOW; QQCM
1E48  ; [.129F.0020.0008.004E][.0000.008A.0002.0331] # LATIN CAPITAL LETTER N WITH LINE BELOW; QQCM
3381  ; [.129F.0020.001C.3381][.1141.0020.001D.3381] # SQUARE NA; QQKN
338B  ; [.129F.0020.001C.338B][.11D5.0020.001D.338B] # SQUARE NF; QQKN
01CC  ; [.129F.0020.0004.01CC][.1237.0020.0004.01CC] # LATIN SMALL LETTER NJ; QQKN
01CB  ; [.129F.0020.000A.01CB][.1237.0020.0004.01CB] # LATIN CAPITAL LETTER N WITH SMALL LETTER J; QQKN
01CA  ; [.129F.0020.000A.01CA][.1237.0020.000A.01CA] # LATIN CAPITAL LETTER NJ; QQKN
339A  ; [.129F.0020.001C.339A][.1291.0020.001C.339A] # SQUARE NM; QQKN
2116  ; [.129F.0020.000A.2116][.12C0.0020.0004.2116] # NUMERO SIGN; QQKN
33B1  ; [.129F.0020.001C.33B1][.1342.0020.001C.33B1] # SQUARE NS; QQKN
33B5  ; [.129F.0020.001C.33B5][.13AD.0020.001D.33B5] # SQUARE NV; QQKN
33BB  ; [.129F.0020.001C.33BB][.13BF.0020.001D.33BB] # SQUARE NW; QQKN
0274  ; [.12A3.0020.0002.0274] # LATIN LETTER SMALL CAPITAL N
0272  ; [.12AA.0020.0002.0272] # LATIN SMALL LETTER N WITH LEFT HOOK
019D  ; [.12AA.0020.0008.019D] # LATIN CAPITAL LETTER N WITH LEFT HOOK
019E  ; [.12AE.0020.0002.019E] # LATIN SMALL LETTER N WITH LONG RIGHT LEG
0220  ; [.12AE.0020.0008.0220] # LATIN CAPITAL LETTER N WITH LONG RIGHT LEG
0273  ; [.12B3.0020.0002.0273] # LATIN SMALL LETTER N WITH RETROFLEX HOOK
0235  ; [.12B7.0020.0002.0235] # LATIN SMALL LETTER N WITH CURL
A774  ; [.12BB.0020.0002.A774] # LATIN SMALL LETTER NUM
014B  ; [.12BC.0020.0002.014B] # LATIN SMALL LETTER ENG
014A  ; [.12BC.0020.0008.014A] # LATIN CAPITAL LETTER ENG
006F  ; [.12C0.0020.0002.006F] # LATIN SMALL LETTER O
FF4F  ; [.12C0.0020.0003.FF4F] # FULLWIDTH LATIN SMALL LETTER O; QQK
0366  ; [.12C0.0020.0004.0366] # COMBINING LATIN SMALL LETTER O; QQK
24AA  ; [*02C8.0020.0004.24AA][.12C0.0020.0004.24AA][*02C9.0020.001F.24AA] # PARENTHESIZED LATIN SMALL LETTER O; QQKN
2134  ; [.12C0.0020.0005.2134] # SCRIPT SMALL O; QQK
24DE  ; [.12C0.0020.0006.24DE] # CIRCLED LATIN SMALL LETTER O; QQK
004F  ; [.12C0.0020.0008.004F] # LATIN CAPITAL LETTER O
FF2F  ; [.12C0.0020.0009.FF2F] # FULLWIDTH LATIN CAPITAL LETTER O; QQK
24C4  ; [.12C0.0020.000C.24C4] # CIRCLED LATIN CAPITAL LETTER O; QQK
00BA  ; [.12C0.0020.0014.00BA] # MASCULINE ORDINAL INDICATOR; QQK
2092  ; [.12C0.0020.0015.2092] # LATIN SUBSCRIPT SMALL LETTER O; QQK
00F3  ; [.12C0.0020.0002.006F][.0000.0032.0002.0301] # LATIN SMALL LETTER O WITH ACUTE; QQCM
00D3  ; [.12C0.0020.0008.004F][.0000.0032.0002.0301] # LATIN CAPITAL LETTER O WITH ACUTE; QQCM
00F2  ; [.12C0.0020.0002.006F][.0000.0035.0002.0300] # LATIN SMALL LETTER O WITH GRAVE; QQCM
00D2  ; [.12C0.0020.0008.004F][.0000.0035.0002.0300] # LATIN CAPITAL LETTER O WITH GRAVE; QQCM
014F  ; [.12C0.0020.0002.006F][.0000.0037.0002.0306] # LATIN SMALL LETTER O WITH BREVE; QQCM
014E  ; [.12C0.0020.0008.004F][.0000.0037.0002.0306] # LATIN CAPITAL LETTER O WITH BREVE; QQCM
00F4  ; [.12C0.0020.0002.006F][.0000.003C.0002.0302] # LATIN SMALL LETTER O WITH CIRCUMFLEX; QQCM
00D4  ; [.12C0.0020.0008.004F][.0000.003C.0002.0302] # LATIN CAPITAL LETTER O WITH CIRCUMFLEX; QQCM
1ED1  ; [.12C0.0020.0002.006F][.0000.003C.0002.0302][.0000.0032.0002.0301] # LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE; QQCM
1ED0  ; [.12C0.0020.0008.004F][.0000.003C.0002.0302][.0000.0032.0002.0301] # LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE; QQCM
1ED3  ; [.12C0.0020.0002.006F][.0000.003C.0002.0302][.0000.0035.0002.0300] # LATIN SMALL LETTER O WITH CIRCUMFLEX AND GRAVE; QQCM
1ED2  ; [.12C0.0020.0008.004F][.0000.003C.0002.0302][.0000.0035.0002.0300] # LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE; QQCM
1ED7  ; [.12C0.0020.0002.006F][.0000.003C.0002.0302][.0000.004E.0002.0303] # LATIN SMALL LETTER O WITH CIRCUMFLEX AND TILDE; QQCM
1ED6  ; [.12C0.0020.0008.004F][.0000.003C.0002.0302][.0000.004E.0002.0303] # LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE; QQCM
1ED5  ; [.12C0.0020.0002.006F][.0000.003C.0002.0302][.0000.0060.0002.0309] # LATIN SMALL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE; QQCM
1ED4  ; [.12C0.0020.0008.004F][.0000.003C.0002.0302][.0000.0060.0002.0309] # LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE; QQCM
01D2  ; [.12C0.0020.0002.006F][.0000.0041.0002.030C] # LATIN SMALL LETTER O WITH CARON; QQCM
01D1  ; [.12C0.0020.0008.004F][.0000.0041.0002.030C] # LATIN CAPITAL LETTER O WITH CARON; QQCM
00F6  ; [.12C0.0020.0002.006F][.0000.0047.0002.0308] # LATIN SMALL LETTER O WITH DIAERESIS; QQCM
00D6  ; [.12C0.0020.0008.004F][.0000.0047.0002.0308] # LATIN CAPITAL LETTER O WITH DIAERESIS; QQCM
022B  ; [.12C0.0020.0002.006F][.0000.0047.0002.0308][.0000.005B.0002.0304] # LATIN SMALL LETTER O WITH DIAERESIS AND MACRON; QQCM
022A  ; [.12C0.0020.0008.004F][.0000.0047.0002.0308][.0000.005B.0002.0304] # LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON; QQCM
0151  ; [.12C0.0020.0002.006F][.0000.004D.0002.030B] # LATIN SMALL LETTER O WITH DOUBLE ACUTE; QQCM
0150  ; [.12C0.0020.0008.004F][.0000.004D.0002.030B] # LATIN CAPITAL LETTER O WITH DOUBLE ACUTE; QQCM
00F5  ; [.12C0.0020.0002.006F][.0000.004E.0002.0303] # LATIN SMALL LETTER O WITH TILDE; QQCM
00D5  ; [.12C0.0020.0008.004F][.0000.004E.0002.0303] # LATIN CAPITAL LETTER O WITH TILDE; QQCM
1E4D  ; [.12C0.0020.0002.006F][.0000.004E.0002.0303][.0000.0032.0002.0301] # LATIN SMALL LETTER O WITH TILDE AND ACUTE; QQCM
1E4C  ; [.12C0.0020.0008.004F][.0000.004E.0002.0303][.0000.0032.0002.0301] # LATIN CAPITAL LETTER O WITH TILDE AND ACUTE; QQCM
1E4F  ; [.12C0.0020.0002.006F][.0000.004E.0002.0303][.0000.0047.0002.0308] # LATIN SMALL LETTER O WITH TILDE AND DIAERESIS; QQCM
1E4E  ; [.12C0.0020.0008.004F][.0000.004E.0002.0303][.0000.0047.0002.0308] # LATIN CAPITAL LETTER O WITH TILDE AND DIAERESIS; QQCM
022D  ; [.12C0.0020.0002.006F][.0000.004E.0002.0303][.0000.005B.0002.0304] # LATIN SMALL LETTER O WITH TILDE AND MACRON; QQCM
022C  ; [.12C0.0020.0008.004F][.0000.004E.0002.0303][.0000.005B.0002.0304] # LATIN CAPITAL LETTER O WITH TILDE AND MACRON; QQCM
022F  ; [.12C0.0020.0002.006F][.0000.0052.0002.0307] # LATIN SMALL LETTER O WITH DOT ABOVE; QQCM
022E  ; [.12C0.0020.0008.004F][.0000.0052.0002.0307] # LATIN CAPITAL LETTER O WITH DOT ABOVE; QQCM
0231  ; [.12C0.0020.0002.006F][.0000.0052.0002.0307][.0000.005B.0002.0304] # LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON; QQCM
0230  ; [.12C0.0020.0008.004F][.0000.0052.0002.0307][.0000.005B.0002.0304] # LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON; QQCM
00F8  ; [.12C0.0020.0002.006F][.0000.0054.0002.0338] # LATIN SMALL LETTER O WITH STROKE; QQCM
00D8  ; [.12C0.0020.0008.004F][.0000.0054.0002.0338] # LATIN CAPITAL LETTER O WITH STROKE; QQCM
01FF  ; [.12C0.0020.0002.006F][.0000.0054.0002.0338][.0000.0032.0002.0301] # LATIN SMALL LETTER O WITH STROKE AND ACUTE; QQCM
01FE  ; [.12C0.0020.0008.004F][.0000.0054.0002.0338][.0000.0032.0002.0301] # LATIN CAPITAL LETTER O WITH STROKE AND ACUTE; QQCM
01EB  ; [.12C0.0020.0002.006F][.0000.0059.0002.0328] # LATIN SMALL LETTER O WITH OGONEK; QQCM
01EA  ; [.12C0.0020.0008.004F][.0000.0059.0002.0328] # LATIN CAPITAL LETTER O WITH OGONEK; QQCM
01ED  ; [.12C0.0020.0002.006F][.0000.0059.0002.0328][.0000.005B.0002.0304] # LATIN SMALL LETTER O WITH OGONEK AND MACRON; QQCM
01EC  ; [.12C0.0020.0008.004F][.0000.0059.0002.0328][.0000.005B.0002.0304] # LATIN CAPITAL LETTER O WITH OGONEK AND MACRON; QQCM
014D  ; [.12C0.0020.0002.006F][.0000.005B.0002.0304] # LATIN SMALL LETTER O WITH MACRON; QQCM
014C  ; [.12C0.0020.0008.004F][.0000.005B.0002.0304] # LATIN CAPITAL LETTER O WITH MACRON; QQCM
1E53  ; [.12C0.0020.0002.006F][.0000.005B.0002.0304][.0000.0032.0002.0301] # LATIN SMALL LETTER O WITH MACRON AND ACUTE; QQCM
1E52  ; [.12C0.0020.0008.004F][.0000.005B.0002.0304][.0000.0032.0002.0301] # LATIN CAPITAL LETTER O WITH MACRON AND ACUTE; QQCM
1E51  ; [.12C0.0020.0002.006F][.0000.005B.0002.0304][.0000.0035.0002.0300] # LATIN SMALL LETTER O WITH MACRON AND GRAVE; QQCM
1E50  ; [.12C0.0020.0008.004F][.0000.005B.0002.0304][.0000.0035.0002.0300] # LATIN CAPITAL LETTER O WITH MACRON AND GRAVE; QQCM
1ECF  ; [.12C0.0020.0002.006F][.0000.0060.0002.0309] # LATIN SMALL LETTER O WITH HOOK ABOVE; QQCM
1ECE  ; [.12C0.0020.0008.004F][.0000.0060.0002.0309] # LATIN CAPITAL LETTER O WITH HOOK ABOVE; QQCM
020D  ; [.12C0.0020.0002.006F][.0000.0063.0002.030F] # LATIN SMALL LETTER O WITH DOUBLE GRAVE; QQCM
020C  ; [.12C0.0020.0008.004F][.0000.0063.0002.030F] # LATIN CAPITAL LETTER O WITH DOUBLE GRAVE; QQCM
020F  ; [.12C0.0020.0002.006F][.0000.0065.0002.0311] # LATIN SMALL LETTER O WITH INVERTED BREVE; QQCM
020E  ; [.12C0.0020.0008.004F][.0000.0065.0002.0311] # LATIN CAPITAL LETTER O WITH INVERTED BREVE; QQCM
01A1  ; [.12C0.0020.0002.006F][.0000.006D.0002.031B] # LATIN SMALL LETTER O WITH HORN; QQCM
01A0  ; [.12C0.0020.0008.004F][.0000.006D.0002.031B] # LATIN CAPITAL LETTER O WITH HORN; QQCM
1EDB  ; [.12C0.0020.0002.006F][.0000.006D.0002.031B][.0000.0032.0002.0301] # LATIN SMALL LETTER O WITH HORN AND ACUTE; QQCM
1EDA  ; [.12C0.0020.0008.004F][.0000.006D.0002.031B][.0000.0032.0002.0301] # LATIN CAPITAL LETTER O WITH HORN AND ACUTE; QQCM
1EDD  ; [.12C0.0020.0002.006F][.0000.006D.0002.031B][.0000.0035.0002.0300] # LATIN SMALL LETTER O WITH HORN AND GRAVE; QQCM
1EDC  ; [.12C0.0020.0008.004F][.0000.006D.0002.031B][.0000.0035.0002.0300] # LATIN CAPITAL LETTER O WITH HORN AND GRAVE; QQCM
1EE1  ; [.12C0.0020.0002.006F][.0000.006D.0002.031B][.0000.004E.0002.0303] # LATIN SMALL LETTER O WITH HORN AND TILDE; QQCM
1EE0  ; [.12C0.0020.0008.004F][.0000.006D.0002.031B][.0000.004E.0002.0303] # LATIN CAPITAL LETTER O WITH HORN AND TILDE; QQCM
1EDF  ; [.12C0.0020.0002.006F][.0000.006D.0002.031B][.0000.0060.0002.0309] # LATIN SMALL LETTER O WITH HORN AND HOOK ABOVE; QQCM
1EDE  ; [.12C0.0020.0008.004F][.0000.006D.0002.031B][.0000.0060.0002.0309] # LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE; QQCM
1EE3  ; [.12C0.0020.0002.006F][.0000.006D.0002.031B][.0000.007A.0002.0323] # LATIN SMALL LETTER O WITH HORN AND DOT BELOW; QQCM
1EE2  ; [.12C0.0020.0008.004F][.0000.006D.0002.031B][.0000.007A.0002.0323] # LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW; QQCM
1ECD  ; [.12C0.0020.0002.006F][.0000.007A.0002.0323] # LATIN SMALL LETTER O WITH DOT BELOW; QQCM
1ECC  ; [.12C0.0020.0008.004F][.0000.007A.0002.0323] # LATIN CAPITAL LETTER O WITH DOT BELOW; QQCM
1ED9  ; [.12C0.0020.0002.006F][.0000.007A.0002.0323][.0000.003C.0002.0302] # LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW; QQCM
1ED8  ; [.12C0.0020.0008.004F][.0000.007A.0002.0323][.0000.003C.0002.0302] # LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW; QQCM
0153  ; [.12C0.0020.0004.0153][.0000.01AF.0004.0153][.119D.0020.001F.0153] # LATIN SMALL LIGATURE OE; QQKN
0152  ; [.12C0.0020.000A.0152][.0000.01AF.0004.0152][.119D.0020.001F.0152] # LATIN CAPITAL LIGATURE OE; QQKN
A74F  ; [.12C0.0020.0004.A74F][.12C0.0020.0004.A74F] # LATIN SMALL LETTER OO; QQKN
A74E  ; [.12C0.0020.000A.A74E][.12C0.0020.000A.A74E] # LATIN CAPITAL LETTER OO; QQKN
3375  ; [.12C0.0020.001C.3375][.13AD.0020.001D.3375] # SQUARE OV; QQKN
0276  ; [.12C6.0020.0002.0276] # LATIN LETTER SMALL CAPITAL OE
0254  ; [.12CC.0020.0002.0254] # LATIN SMALL LETTER OPEN O
0186  ; [.12CC.0020.0008.0186] # LATIN CAPITAL LETTER OPEN O
A74D  ; [.12D3.0020.0002.A74D] # LATIN SMALL LETTER O WITH LOOP
A74C  ; [.12D3.0020.0008.A74C] # LATIN CAPITAL LETTER O WITH LOOP
2C7A  ; [.12D6.0020.0002.2C7A] # LATIN SMALL LETTER O WITH LOW RING INSIDE
0275  ; [.12D7.0020.0002.0275] # LATIN SMALL LETTER BARRED O
019F  ; [.12D7.0020.0008.019F] # LATIN CAPITAL LETTER O WITH MIDDLE TILDE
A74B  ; [.12DB.0020.0002.A74B] # LATIN SMALL LETTER O WITH LONG STROKE OVERLAY
A74A  ; [.12DB.0020.0008.A74A] # LATIN CAPITAL LETTER O WITH LONG STROKE OVERLAY
0277  ; [.12DC.0020.0002.0277] # LATIN SMALL LETTER CLOSED OMEGA
0223  ; [.12E0.0020.0002.0223] # LATIN SMALL LETTER OU
0222  ; [.12E0.0020.0008.0222] # LATIN CAPITAL LETTER OU
0070  ; [.12E5.0020.0002.0070] # LATIN SMALL LETTER P
FF50  ; [.12E5.0020.0003.FF50] # FULLWIDTH LATIN SMALL LETTER P; QQK
24AB  ; [*02C8.0020.0004.24AB][.12E5.0020.0004.24AB][*02C9.0020.001F.24AB] # PARENTHESIZED LATIN SMALL LETTER P; QQKN
24DF  ; [.12E5.0020.0006.24DF] # CIRCLED LATIN SMALL LETTER P; QQK
0050  ; [.12E5.0020.0008.0050] # LATIN CAPITAL LETTER P
FF30  ; [.12E5.0020.0009.FF30] # FULLWIDTH LATIN CAPITAL LETTER P; QQK
2119  ; [.12E5.0020.000B.2119] # DOUBLE-STRUCK CAPITAL P; QQK
24C5  ; [.12E5.0020.000C.24C5] # CIRCLED LATIN CAPITAL LETTER P; QQK
1E55  ; [.12E5.0020.0002.0070][.0000.0032.0002.0301] # LATIN SMALL LETTER P WITH ACUTE; QQCM
1E54  ; [.12E5.0020.0008.0050][.0000.0032.0002.0301] # LATIN CAPITAL LETTER P WITH ACUTE; QQCM
1E57  ; [.12E5.0020.0002.0070][.0000.0052.0002.0307] # LATIN SMALL LETTER P WITH DOT ABOVE; QQCM
1E56  ; [.12E5.0020.0008.0050][.0000.0052.0002.0307] # LATIN CAPITAL LETTER P WITH DOT ABOVE; QQCM
3380  ; [.12E5.0020.001C.3380][.1141.0020.001D.3380] # SQUARE PA AMPS; QQKN
33A9  ; [.12E5.0020.001D.33A9][.1141.0020.001C.33A9] # SQUARE PA; QQKN
3376  ; [.12E5.0020.001C.3376][.116F.0020.001C.3376] # SQUARE PC; QQKN
338A  ; [.12E5.0020.001C.338A][.11D5.0020.001D.338A] # SQUARE PF; QQKN
33D7  ; [.12E5.0020.001D.33D7][.1205.0020.001D.33D7] # SQUARE PH; QQKN
33D8  ; [.12E5.0020.001C.33D8][*026A.0020.001C.33D8][.1291.0020.001F.33D8][*026A.0020.001F.33D8] # SQUARE PM; QQKN
33D9  ; [.12E5.0020.001D.33D9][.12E5.0020.001D.33D9][.1291.0020.001F.33D9] # SQUARE PPM; QQKN
33DA  ; [.12E5.0020.001D.33DA][.130C.0020.001D.33DA] # SQUARE PR; QQKN
33B0  ; [.12E5.0020.001C.33B0][.1342.0020.001C.33B0] # SQUARE PS; QQKN
3250  ; [.12E5.0020.001D.3250][.1365.0020.001D.3250][.119D.0020.001F.3250] # PARTNERSHIP SIGN; QQKN
33B4  ; [.12E5.0020.001C.33B4][.13AD.0020.001D.33B4] # SQUARE PV; QQKN
33BA  ; [.12E5.0020.001C.33BA][.13BF.0020.001D.33BA] # SQUARE PW; QQKN
2C63  ; [.12EA.0020.0008.2C63] # LATIN CAPITAL LETTER P WITH STROKE
