# unidata-5.1.0.txt
# Date: 2008-03-04, 10:55:08 PST [KW]
#
# This file defines the Default Unicode Collation Element Table
#   (DUCET) for the Unicode Collation Algorithm
#
# Copyright (c) 2001-2008 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# See UTS #10, Unicode Collation Algorithm, for more information.
#
# Diagnostic weight ranges
# Primary weight range:   0200..3266 (12391)
# Secondary weight range: 0020..01DE (447)
# Variant secondaries:    01AF..01B4 (6)
# Digit secondaries:      01B5..01DE (42)
# Tertiary weight range:  0002..001F (30)
#
@version 5.1.0

1E00  ; [.1141.0020.0008.0041][.0000.0080.0002.0325] # LATIN CAPITAL LETTER A WITH RING BELOW; QQCM
1DD3  ; [.1141.0020.0004.1DD3][.0000.01AF.0004.1DD3] # COMBINING LATIN SMALL LETTER FLATTENED OPEN A ABOVE; QQKN
A733  ; [.1141.0020.0004.A733][.1141.0020.0004.A733] # LATIN SMALL LETTER AA; QQKN
A732  ; [.1141.0020.000A.A732][.1141.0020.000A.A732] # LATIN CAPITAL LETTER AA; QQKN
2100  ; [.1141.0020.0004.2100][*0325.0020.0004.2100][.116F.0020.001F.2100] # ACCOUNT OF; QQKN
00E6  ; [.1141.0020.0004.00E6][.0000.01AF.0004.00E6][.119D.0020.001F.00E6] # LATIN SMALL LETTER AE; QQKN
1DD4  ; [.1141.0020.0004.1DD4][.0000.01AF.0004.1DD4][.119D.0020.001F.1DD4] # COMBINING LATIN SMALL LETTER AE; QQKN
00C6  ; [.1141.0020.000A.00C6][.0000.01AF.0004.00C6][.119D.0020.001F.00C6] # LATIN CAPITAL LETTER AE; QQKN
1D2D  ; [.1141.0020.0014.1D2D][.0000.01AF.0014.1D2D][.119D.0020.001F.1D2D] # MODIFIER LETTER CAPITAL AE; QQKN
01FD  ; [.1141.0020.0004.01FD][.0000.01AF.0004.01FD][.119D.0020.001F.01FD][.0000.0032.0002.01FD] # LATIN SMALL LETTER AE WITH ACUTE; QQKN
01FC  ; [.1141.0020.000A.01FC][.0000.01AF.0004.01FC][.119D.0020.001F.01FC][.0000.0032.0002.01FC] # LATIN CAPITAL LETTER AE WITH ACUTE; QQKN
01E3  ; [.1141.0020.0004.01E3][.0000.01AF.0004.01E3][.119D.0020.001F.01E3][.0000.005B.0002.01E3] # LATIN SMALL LETTER AE WITH MACRON; QQKN
01E2  ; [.1141.0020.000A.01E2][.0000.01AF.0004.01E2][.119D.0020.001F.01E2][.0000.005B.0002.01E2] # LATIN CAPITAL LETTER AE WITH MACRON; QQKN
33C2  ; [.1141.0020.001C.33C2][*026A.0020.001C.33C2][.1291.0020.001F.33C2][*026A.0020.001F.33C2] # SQUARE AM; QQKN
33DF  ; [.1141.0020.001D.33DF][*050B.0020.001C.33DF][.1291.0020.001F.33DF] # SQUARE A OVER M; QQKN
1DD5  ; [.1141.0020.0004.1DD5][.12C0.0020.0004.1DD5] # COMBINING LATIN SMALL LETTER AO; QQKN
A735  ; [.1141.0020.0004.A735][.12C0.0020.0004.A735] # LATIN SMALL LETTER AO; QQKN
A734  ; [.1141.0020.000A.A734][.12C0.0020.000A.A734] # LATIN CAPITAL LETTER AO; QQKN
2101  ; [.1141.0020.0004.2101][*0325.0020.0004.2101][.1342.0020.001F.2101] # ADDRESSED TO THE SUBJECT; QQKN
A737  ; [.1141.0020.0004.A737][.1385.0020.0004.A737] # LATIN SMALL LETTER AU; QQKN
A736  ; [.1141.0020.000A.A736][.1385.0020.000A.A736] # LATIN CAPITAL LETTER AU; QQKN
3373  ; [.1141.0020.001D.3373][.1385.0020.001D.3373] # SQUARE AU; QQKN
1DD6  ; [.1141.0020.0004.1DD6][.13AD.0020.0004.1DD6] # COMBINING LATIN SMALL LETTER AV; QQKN
A739  ; [.1141.0020.0004.A739][.13AD.0020.0004.A739] # LATIN SMALL LETTER AV; QQKN
A738  ; [.1141.0020.000A.A738][.13AD.0020.000A.A738] # LATIN CAPITAL LETTER AV; QQKN
